city,year,month,t2m,t2m_max,t2m_min,prec_acum
Puerto Ayacucho,1988,3,30.37,39.35,21.58,15.82
Puerto Ayacucho,1988,4,27.79,37.92,22.98,137.11
Puerto Ayacucho,1988,5,25.26,30.96,21.61,295.31
Puerto Ayacucho,1988,6,24.38,29.21,20.72,458.79
Puerto Ayacucho,1988,7,23.88,28.69,19.94,585.35
Puerto Ayacucho,1988,8,24.38,29.02,21.3,564.26
Puerto Ayacucho,1988,9,24.82,29.76,20.91,221.48
Puerto Ayacucho,1988,10,25.56,30.46,21.72,274.22
Puerto Ayacucho,1988,11,25.1,30.15,20.86,131.84
Puerto Ayacucho,1988,12,24.42,29.52,18.89,52.73
Puerto Ayacucho,1989,1,24.58,29.51,18.54,31.64
Puerto Ayacucho,1989,2,25.8,34.58,19.26,26.37
Puerto Ayacucho,1989,3,27.43,35.05,20.43,26.37
Puerto Ayacucho,1989,4,28.02,37.69,22.16,73.83
Puerto Ayacucho,1989,5,25.21,34.01,21.58,453.52
Puerto Ayacucho,1989,6,24.54,29.23,20.48,458.79
Puerto Ayacucho,1989,7,24.19,29.49,19.9,685.55
Puerto Ayacucho,1989,8,24.71,29.48,21.08,384.96
Puerto Ayacucho,1989,9,25.28,30.57,20.83,290.04
Puerto Ayacucho,1989,10,25.02,29.67,20.82,358.59
Puerto Ayacucho,1989,11,25.43,29.81,21.54,184.57
Puerto Ayacucho,1989,12,24.61,29.8,18.96,21.09
Puerto Ayacucho,1990,1,25.1,30.5,20.18,52.73
Puerto Ayacucho,1990,2,25.71,32.42,20.13,89.65
Puerto Ayacucho,1990,3,26.48,34.25,21.07,94.92
Puerto Ayacucho,1990,4,26.08,33.54,21.64,268.95
Puerto Ayacucho,1990,5,24.87,30.29,21.8,390.23
Puerto Ayacucho,1990,6,24.73,29.32,21.64,527.34
Puerto Ayacucho,1990,7,24.33,29.46,21.19,406.05
Puerto Ayacucho,1990,8,24.76,29.99,20.56,427.15
Puerto Ayacucho,1990,9,25.37,30.55,21.33,274.22
Puerto Ayacucho,1990,10,25.43,31.23,21.01,274.22
Puerto Ayacucho,1990,11,25.53,30.0,21.11,137.11
Puerto Ayacucho,1990,12,25.04,29.39,20.8,84.38
Puerto Ayacucho,1991,1,24.96,30.27,19.28,0.0
Puerto Ayacucho,1991,2,27.27,35.76,18.83,21.09
Puerto Ayacucho,1991,3,27.9,37.55,21.49,79.1
Puerto Ayacucho,1991,4,25.75,35.6,22.08,279.49
Puerto Ayacucho,1991,5,25.3,30.95,22.31,232.03
Puerto Ayacucho,1991,6,25.2,29.9,21.91,506.25
Puerto Ayacucho,1991,7,24.33,29.05,21.33,495.7
Puerto Ayacucho,1991,8,24.52,29.27,20.5,411.33
Puerto Ayacucho,1991,9,25.57,30.14,20.64,295.31
Puerto Ayacucho,1991,10,25.31,29.72,21.65,311.13
Puerto Ayacucho,1991,11,25.59,30.31,20.87,131.84
Puerto Ayacucho,1991,12,25.05,29.81,20.41,31.64
Puerto Ayacucho,1992,1,25.3,32.82,18.79,21.09
Puerto Ayacucho,1992,2,28.33,37.18,20.05,26.37
Puerto Ayacucho,1992,3,28.99,39.04,21.9,31.64
Puerto Ayacucho,1992,4,27.67,37.78,22.63,263.67
Puerto Ayacucho,1992,5,25.92,31.18,22.35,348.05
Puerto Ayacucho,1992,6,25.15,29.98,21.99,353.32
Puerto Ayacucho,1992,7,24.33,29.21,20.95,701.37
Puerto Ayacucho,1992,8,24.83,29.77,21.16,395.51
Puerto Ayacucho,1992,9,25.13,30.39,21.05,216.21
Puerto Ayacucho,1992,10,25.56,30.61,21.72,210.94
Puerto Ayacucho,1992,11,25.23,29.61,20.67,226.76
Puerto Ayacucho,1992,12,25.16,29.7,20.12,163.48
Puerto Ayacucho,1993,1,25.3,29.99,20.69,47.46
Puerto Ayacucho,1993,2,26.08,33.59,20.33,15.82
Puerto Ayacucho,1993,3,26.77,34.83,21.48,79.1
Puerto Ayacucho,1993,4,26.01,34.37,22.09,263.67
Puerto Ayacucho,1993,5,25.03,30.43,21.5,469.34
Puerto Ayacucho,1993,6,24.68,29.32,21.42,590.62
Puerto Ayacucho,1993,7,24.58,28.98,20.78,427.15
Puerto Ayacucho,1993,8,24.96,29.52,21.05,511.52
Puerto Ayacucho,1993,9,25.08,29.9,21.22,163.48
Puerto Ayacucho,1993,10,25.17,30.0,21.15,274.22
Puerto Ayacucho,1993,11,25.07,29.94,21.84,152.93
Puerto Ayacucho,1993,12,24.98,29.73,17.99,68.55
Puerto Ayacucho,1994,1,24.83,30.77,18.15,21.09
Puerto Ayacucho,1994,2,26.99,35.11,20.3,31.64
Puerto Ayacucho,1994,3,27.03,36.06,21.43,105.47
Puerto Ayacucho,1994,4,26.53,35.41,21.51,279.49
Puerto Ayacucho,1994,5,25.23,30.06,20.98,374.41
