city,year,month,t2m,t2m_max,t2m_min,prec_acum
San Carlos,1988,6,26.35,34.09,21.5,263.67
San Carlos,1988,7,24.94,29.87,20.24,184.57
San Carlos,1988,8,25.15,29.54,21.03,305.86
San Carlos,1988,9,25.18,30.64,20.98,163.48
San Carlos,1988,10,25.52,31.11,20.82,137.11
San Carlos,1988,11,25.09,30.01,19.87,126.56
San Carlos,1988,12,24.4,30.4,18.23,10.55
San Carlos,1989,1,25.39,33.64,17.58,10.55
San Carlos,1989,2,26.39,35.88,17.43,42.19
San Carlos,1989,3,28.15,38.07,19.72,0.0
San Carlos,1989,4,29.65,38.55,21.26,10.55
San Carlos,1989,5,27.42,38.13,22.1,137.11
San Carlos,1989,6,26.54,33.98,21.05,121.29
San Carlos,1989,7,25.29,31.62,20.15,200.39
San Carlos,1989,8,25.38,30.78,20.52,179.3
San Carlos,1989,9,25.6,30.62,21.4,89.65
San Carlos,1989,10,25.64,31.99,20.66,110.74
San Carlos,1989,11,26.3,32.39,19.73,36.91
San Carlos,1989,12,26.25,34.87,18.33,21.09
San Carlos,1990,1,27.11,35.74,18.84,21.09
San Carlos,1990,2,27.23,36.64,19.8,21.09
San Carlos,1990,3,28.92,38.01,20.49,0.0
San Carlos,1990,4,29.48,38.52,22.32,73.83
San Carlos,1990,5,26.21,33.48,21.63,258.4
San Carlos,1990,6,25.37,30.51,21.16,232.03
San Carlos,1990,7,24.8,29.76,19.26,137.11
San Carlos,1990,8,25.14,30.46,20.67,147.66
San Carlos,1990,9,25.65,30.42,21.31,142.38
San Carlos,1990,10,25.8,30.83,21.48,163.48
San Carlos,1990,11,25.37,30.7,19.97,84.38
San Carlos,1990,12,25.7,33.42,17.85,5.27
San Carlos,1991,1,26.71,35.85,19.02,0.0
San Carlos,1991,2,28.98,38.48,19.94,5.27
San Carlos,1991,3,28.38,37.82,19.96,58.01
San Carlos,1991,4,28.23,37.48,21.32,105.47
San Carlos,1991,5,28.18,37.13,22.76,73.83
San Carlos,1991,6,26.52,36.26,21.19,232.03
San Carlos,1991,7,25.2,30.92,20.92,195.12
San Carlos,1991,8,24.93,29.8,21.01,163.48
San Carlos,1991,9,25.27,30.01,21.03,242.58
San Carlos,1991,10,24.95,30.22,20.99,147.66
San Carlos,1991,11,25.22,30.44,18.9,131.84
San Carlos,1991,12,24.7,31.03,18.06,10.55
San Carlos,1992,1,25.9,34.44,18.18,0.0
San Carlos,1992,2,28.26,37.72,19.1,0.0
San Carlos,1992,3,30.14,39.96,20.74,0.0
San Carlos,1992,4,30.08,40.83,23.0,79.1
San Carlos,1992,5,27.49,36.22,22.04,121.29
San Carlos,1992,6,25.8,32.69,22.01,216.21
San Carlos,1992,7,24.75,29.69,21.01,268.95
San Carlos,1992,8,25.08,30.25,21.03,179.3
San Carlos,1992,9,25.41,30.5,20.7,168.75
San Carlos,1992,10,25.63,31.64,20.92,31.64
San Carlos,1992,11,25.59,31.84,21.15,100.2
San Carlos,1992,12,25.86,33.12,19.14,10.55
San Carlos,1993,1,27.13,36.62,19.69,0.0
San Carlos,1993,2,28.83,37.66,20.33,0.0
San Carlos,1993,3,29.45,39.07,21.58,21.09
San Carlos,1993,4,28.41,38.45,21.55,121.29
San Carlos,1993,5,26.14,31.82,22.18,189.84
San Carlos,1993,6,25.35,31.5,21.78,237.3
San Carlos,1993,7,25.24,30.13,20.62,158.2
San Carlos,1993,8,25.26,30.69,21.12,226.76
San Carlos,1993,9,25.38,30.65,20.95,131.84
San Carlos,1993,10,25.88,31.7,21.35,68.55
San Carlos,1993,11,25.64,31.87,20.3,73.83
San Carlos,1993,12,26.71,34.26,18.67,0.0
San Carlos,1994,1,27.36,36.88,19.5,0.0
San Carlos,1994,2,28.58,39.55,20.03,0.0
San Carlos,1994,3,29.88,39.83,20.24,0.0
San Carlos,1994,4,29.05,39.33,21.86,79.1
San Carlos,1994,5,27.15,35.19,22.29,121.29
San Carlos,1994,6,25.65,32.06,21.26,189.84
San Carlos,1994,7,24.98,30.23,20.41,200.39
San Carlos,1994,8,25.12,30.33,21.02,221.48
San Carlos,1994,9,25.27,29.94,21.35,152.93
San Carlos,1994,10,25.48,30.58,21.27,147.66
San Carlos,1994,11,25.4,31.24,19.39,63.28
San Carlos,1994,12,25.66,33.68,19.33,21.09
San Carlos,1995,1,26.55,35.37,17.81,5.27
San Carlos,1995,2,28.14,37.94,19.77,10.55
San Carlos,1995,3,29.13,38.89,21.54,47.46
San Carlos,1995,4,28.99,40.44,21.05,73.83
San Carlos,1995,5,28.19,37.54,22.26,100.2
San Carlos,1995,6,25.44,30.32,21.23,200.39
San Carlos,1995,7,25.33,29.94,20.87,253.12
San Carlos,1995,8,25.62,30.54,21.65,131.84
San Carlos,1995,9,25.96,32.49,21.73,79.1
San Carlos,1995,10,25.83,31.2,20.94,110.74
San Carlos,1995,11,26.19,33.82,20.72,26.37
San Carlos,1995,12,26.89,35.39,20.01,31.64
San Carlos,1996,1,27.6,36.69,19.28,0.0
San Carlos,1996,2,28.98,37.8,21.52,15.82
San Carlos,1996,3,29.58,40.08,20.75,5.27
San Carlos,1996,4,29.92,39.8,20.81,52.73
San Carlos,1996,5,26.62,32.75,21.75,200.39
San Carlos,1996,6,25.33,30.56,20.37,295.31
San Carlos,1996,7,24.77,29.84,20.37,279.49
San Carlos,1996,8,25.18,30.63,20.23,152.93
San Carlos,1996,9,25.24,30.64,20.9,179.3
San Carlos,1996,10,25.37,31.0,21.51,163.48
San Carlos,1996,11,25.19,30.12,19.83,137.11
San Carlos,1996,12,24.69,30.51,18.76,36.91
San Carlos,1997,1,25.17,33.65,18.32,0.0
San Carlos,1997,2,26.05,34.01,19.29,58.01
San Carlos,1997,3,27.7,38.02,18.05,0.0
San Carlos,1997,4,29.33,38.9,22.42,47.46
San Carlos,1997,5,27.98,38.26,22.07,158.2
San Carlos,1997,6,26.12,31.94,21.8,221.48
San Carlos,1997,7,25.4,30.35,21.34,284.77
San Carlos,1997,8,25.6,30.41,20.55,142.38
San Carlos,1997,9,26.32,31.16,21.73,100.2
San Carlos,1997,10,26.6,32.19,22.4,131.84
San Carlos,1997,11,26.33,32.36,21.1,68.55
San Carlos,1997,12,27.08,35.82,18.8,5.27
San Carlos,1998,1,29.27,39.62,20.25,0.0
San Carlos,1998,2,30.51,40.8,21.75,26.37
San Carlos,1998,3,31.23,40.81,21.34,15.82
San Carlos,1998,4,28.88,38.31,22.44,168.75
San Carlos,1998,5,27.56,35.16,23.11,168.75
San Carlos,1998,6,26.26,31.98,22.33,100.2
San Carlos,1998,7,25.76,30.71,21.46,163.48
San Carlos,1998,8,26.08,31.33,22.12,195.12
San Carlos,1998,9,26.22,31.4,21.69,68.55
San Carlos,1998,10,26.02,31.37,21.49,158.2
San Carlos,1998,11,26.59,33.83,20.75,31.64
San Carlos,1998,12,26.75,34.48,20.14,63.28
San Carlos,1999,1,27.22,35.94,19.26,0.0
San Carlos,1999,2,28.04,36.9,20.29,5.27
San Carlos,1999,3,29.06,37.9,20.58,15.82
San Carlos,1999,4,26.72,34.73,20.79,179.3
San Carlos,1999,5,27.28,36.06,21.34,126.56
San Carlos,1999,6,26.38,33.93,21.56,116.02
San Carlos,1999,7,25.27,32.12,21.18,226.76
San Carlos,1999,8,24.93,29.99,20.79,131.84
San Carlos,1999,9,25.34,30.54,20.76,200.39
San Carlos,1999,10,25.12,30.52,20.81,184.57
San Carlos,1999,11,25.21,30.48,20.9,142.38
San Carlos,1999,12,24.64,30.52,17.7,52.73
San Carlos,2000,1,24.34,32.12,16.19,21.09
San Carlos,2000,2,26.01,34.4,18.22,21.09
San Carlos,2000,3,26.95,36.48,20.0,36.91
San Carlos,2000,4,28.7,37.83,20.8,10.55
San Carlos,2000,5,28.33,37.91,22.22,89.65
San Carlos,2000,6,26.44,35.19,21.07,147.66
San Carlos,2000,7,25.28,32.52,20.58,216.21
San Carlos,2000,8,25.36,31.07,20.62,158.2
San Carlos,2000,9,25.33,29.8,21.05,168.75
San Carlos,2000,10,25.44,30.26,20.33,116.02
San Carlos,2000,11,25.43,30.88,19.3,63.28
San Carlos,2000,12,25.51,32.94,16.02,0.0
San Carlos,2001,1,26.67,36.48,18.94,5.27
San Carlos,2001,2,27.67,36.81,19.99,0.0
San Carlos,2001,3,29.65,38.9,20.46,15.82
San Carlos,2001,4,29.24,39.01,21.73,100.2
San Carlos,2001,5,27.81,35.01,22.37,126.56
San Carlos,2001,6,26.19,33.72,21.52,163.48
San Carlos,2001,7,25.44,31.67,20.65,174.02
San Carlos,2001,8,25.51,30.01,21.8,179.3
San Carlos,2001,9,25.86,31.13,20.97,89.65
San Carlos,2001,10,26.07,31.57,21.1,126.56
San Carlos,2001,11,26.4,32.45,20.86,73.83
San Carlos,2001,12,26.38,33.76,20.33,121.29
San Carlos,2002,1,26.82,35.48,18.56,5.27
San Carlos,2002,2,28.62,39.14,20.51,0.0
San Carlos,2002,3,29.32,39.26,20.88,52.73
San Carlos,2002,4,28.86,37.19,19.69,58.01
San Carlos,2002,5,27.36,36.23,22.15,247.85
San Carlos,2002,6,25.21,30.22,21.37,253.12
San Carlos,2002,7,25.47,30.3,20.76,168.75
San Carlos,2002,8,25.48,30.01,21.41,200.39
San Carlos,2002,9,25.66,30.51,21.63,268.95
San Carlos,2002,10,25.52,30.53,18.5,126.56
San Carlos,2002,11,25.5,30.69,20.35,89.65
San Carlos,2002,12,25.12,31.34,18.62,5.27
San Carlos,2003,1,26.77,36.07,19.55,0.0
San Carlos,2003,2,28.87,38.23,20.65,0.0
San Carlos,2003,3,29.86,39.16,20.7,0.0
San Carlos,2003,4,28.49,39.93,22.51,158.2
San Carlos,2003,5,26.84,35.73,22.26,210.94
San Carlos,2003,6,25.39,30.32,20.81,237.3
San Carlos,2003,7,25.12,29.58,20.32,200.39
San Carlos,2003,8,25.36,30.08,21.15,163.48
San Carlos,2003,9,25.51,30.38,21.43,94.92
San Carlos,2003,10,25.84,30.22,21.09,200.39
San Carlos,2003,11,25.85,30.83,21.18,79.1
San Carlos,2003,12,25.43,32.01,19.29,0.0
San Carlos,2004,1,26.54,35.2,19.48,0.0
San Carlos,2004,2,28.63,37.87,19.73,0.0
San Carlos,2004,3,29.98,39.53,22.38,0.0
San Carlos,2004,4,29.1,38.79,22.37,47.46
San Carlos,2004,5,26.26,34.7,21.84,184.57
San Carlos,2004,6,26.51,34.19,21.51,63.28
San Carlos,2004,7,25.49,32.74,21.08,168.75
San Carlos,2004,8,25.5,30.44,21.05,179.3
San Carlos,2004,9,25.71,30.73,21.26,131.84
San Carlos,2004,10,26.23,32.17,21.29,58.01
San Carlos,2004,11,26.13,31.72,20.95,84.38
San Carlos,2004,12,27.19,35.2,19.88,21.09
San Carlos,2005,1,27.6,36.52,19.2,36.91
San Carlos,2005,2,28.87,38.73,19.45,15.82
San Carlos,2005,3,31.41,40.37,22.61,0.0
San Carlos,2005,4,29.06,39.33,23.32,131.84
San Carlos,2005,5,26.86,33.62,22.8,184.57
San Carlos,2005,6,26.05,30.62,22.08,137.11
San Carlos,2005,7,25.43,31.05,21.06,253.12
San Carlos,2005,8,25.93,30.26,21.64,152.93
San Carlos,2005,9,26.44,31.55,21.58,79.1
San Carlos,2005,10,26.36,31.78,22.2,58.01
San Carlos,2005,11,25.87,32.86,19.78,116.02
San Carlos,2005,12,26.25,34.36,18.94,10.55
San Carlos,2006,1,27.21,36.48,19.02,15.82
San Carlos,2006,2,28.79,37.84,19.93,0.0
San Carlos,2006,3,29.9,38.8,20.9,5.27
San Carlos,2006,4,28.86,37.2,22.0,73.83
San Carlos,2006,5,26.58,35.1,21.09,247.85
San Carlos,2006,6,25.73,30.9,20.49,195.12
San Carlos,2006,7,25.23,30.5,21.18,147.66
San Carlos,2006,8,25.58,31.23,21.55,221.48
San Carlos,2006,9,26.09,31.25,21.31,63.28
San Carlos,2006,10,26.6,32.46,21.7,58.01
San Carlos,2006,11,27.5,35.08,21.27,47.46
San Carlos,2006,12,27.77,36.22,21.08,26.37
San Carlos,2007,1,28.65,38.4,20.57,10.55
San Carlos,2007,2,29.46,39.19,20.46,0.0
San Carlos,2007,3,30.01,39.8,21.29,21.09
San Carlos,2007,4,29.87,39.38,22.8,42.19
San Carlos,2007,5,29.19,37.96,22.25,79.1
San Carlos,2007,6,27.12,35.11,22.13,110.74
San Carlos,2007,7,27.54,35.99,22.01,58.01
San Carlos,2007,8,26.26,34.96,21.75,121.29
San Carlos,2007,9,26.56,33.26,21.81,79.1
San Carlos,2007,10,26.18,32.21,21.7,158.2
San Carlos,2007,11,26.82,34.25,20.09,26.37
San Carlos,2007,12,27.03,35.0,19.66,36.91
San Carlos,2008,1,27.8,37.08,19.92,5.27
San Carlos,2008,2,28.86,38.57,19.49,0.0
San Carlos,2008,3,29.43,39.02,21.24,0.0
San Carlos,2008,4,29.93,39.52,22.32,63.28
San Carlos,2008,5,27.58,36.15,21.23,131.84
San Carlos,2008,6,27.08,36.17,21.94,110.74
San Carlos,2008,7,25.41,31.27,21.41,226.76
San Carlos,2008,8,25.79,30.33,21.54,168.75
San Carlos,2008,9,25.94,30.83,21.67,84.38
San Carlos,2008,10,25.94,31.0,21.15,142.38
San Carlos,2008,11,25.96,31.66,20.83,84.38
San Carlos,2008,12,26.29,34.67,19.31,0.0
San Carlos,2009,1,27.84,36.53,20.19,26.37
San Carlos,2009,2,28.1,38.01,20.05,10.55
San Carlos,2009,3,28.65,38.29,20.19,21.09
San Carlos,2009,4,30.26,38.87,22.74,15.82
San Carlos,2009,5,29.55,38.96,22.73,26.37
San Carlos,2009,6,28.05,37.31,22.32,79.1
San Carlos,2009,7,27.12,34.26,22.34,158.2
San Carlos,2009,8,26.63,34.55,22.32,121.29
San Carlos,2009,9,27.4,34.23,22.8,89.65
San Carlos,2009,10,27.75,35.93,22.15,73.83
San Carlos,2009,11,28.59,37.16,22.23,36.91
San Carlos,2009,12,29.3,37.56,20.15,0.0
San Carlos,2010,1,29.15,38.91,19.74,0.0
San Carlos,2010,2,31.57,40.87,22.28,0.0
San Carlos,2010,3,32.25,41.77,23.62,10.55
San Carlos,2010,4,28.58,40.25,22.42,147.66
San Carlos,2010,5,27.84,36.74,22.15,152.93
San Carlos,2010,6,26.09,31.74,22.04,158.2
San Carlos,2010,7,25.81,30.99,21.98,142.38
San Carlos,2010,8,25.68,30.46,20.62,94.92
San Carlos,2010,9,26.03,31.74,21.73,131.84
San Carlos,2010,10,26.41,33.71,21.7,58.01
San Carlos,2010,11,26.05,33.9,21.3,73.83
San Carlos,2010,12,26.76,35.08,20.82,42.19
San Carlos,2011,1,27.76,36.58,19.32,5.27
San Carlos,2011,2,28.94,37.87,21.2,0.0
San Carlos,2011,3,29.05,39.38,20.87,21.09
San Carlos,2011,4,27.88,38.71,21.96,147.66
San Carlos,2011,5,26.04,31.34,22.06,232.03
San Carlos,2011,6,26.11,30.91,22.39,184.57
San Carlos,2011,7,25.55,29.84,21.62,253.12
San Carlos,2011,8,25.75,30.28,21.19,105.47
San Carlos,2011,9,25.83,30.63,20.43,121.29
San Carlos,2011,10,25.7,31.58,21.06,73.83
San Carlos,2011,11,25.91,30.87,20.97,110.74
San Carlos,2011,12,25.76,32.65,19.48,58.01
San Carlos,2012,1,26.62,35.0,18.83,0.0
San Carlos,2012,2,28.19,37.87,19.93,0.0
San Carlos,2012,3,27.99,37.05,21.8,73.83
San Carlos,2012,4,27.45,36.49,21.64,63.28
San Carlos,2012,5,26.37,33.27,21.12,210.94
San Carlos,2012,6,25.65,32.57,20.98,163.48
San Carlos,2012,7,25.41,30.55,21.58,152.93
San Carlos,2012,8,25.31,30.44,21.5,221.48
San Carlos,2012,9,25.66,30.22,21.02,147.66
San Carlos,2012,10,25.98,31.34,21.94,184.57
San Carlos,2012,11,26.21,31.82,20.42,26.37
San Carlos,2012,12,26.4,33.59,18.98,31.64
San Carlos,2013,1,27.42,37.23,20.05,5.27
San Carlos,2013,2,29.05,38.61,20.63,0.0
San Carlos,2013,3,30.54,39.55,22.67,26.37
San Carlos,2013,4,30.12,40.19,22.56,36.91
San Carlos,2013,5,27.94,36.12,22.93,94.92
San Carlos,2013,6,26.98,33.77,22.2,158.2
San Carlos,2013,7,26.51,33.19,21.6,94.92
San Carlos,2013,8,26.24,34.08,21.5,100.2
San Carlos,2013,9,26.75,33.76,22.06,100.2
San Carlos,2013,10,26.43,32.87,21.58,131.84
San Carlos,2013,11,26.26,33.61,19.92,89.65
San Carlos,2013,12,27.11,35.95,18.76,10.55
San Carlos,2014,1,28.04,37.4,19.0,0.0
San Carlos,2014,2,29.38,38.51,21.24,0.0
San Carlos,2014,3,30.2,40.21,21.97,0.0
San Carlos,2014,4,30.13,40.29,22.94,31.64
San Carlos,2014,5,29.99,39.26,22.68,42.19
San Carlos,2014,6,28.35,37.89,22.61,105.47
San Carlos,2014,7,26.77,35.49,22.28,131.84
San Carlos,2014,8,26.05,33.5,21.52,110.74
San Carlos,2014,9,26.5,33.62,22.15,89.65
San Carlos,2014,10,25.94,33.4,21.67,147.66
San Carlos,2014,11,26.83,35.13,21.32,36.91
San Carlos,2014,12,28.28,36.57,21.16,5.27
San Carlos,2015,1,28.39,36.76,20.72,5.27
San Carlos,2015,2,29.48,38.35,21.09,0.0
San Carlos,2015,3,29.83,39.65,21.05,0.0
San Carlos,2015,4,30.01,39.8,22.23,26.37
San Carlos,2015,5,30.06,39.9,23.09,52.73
San Carlos,2015,6,27.72,35.22,22.37,94.92
San Carlos,2015,7,26.66,35.8,22.15,168.75
San Carlos,2015,8,26.78,33.29,22.73,121.29
San Carlos,2015,9,27.31,33.98,23.0,73.83
San Carlos,2015,10,27.19,34.14,21.95,110.74
San Carlos,2015,11,27.28,35.01,21.07,47.46
San Carlos,2015,12,27.99,35.92,19.25,21.09
San Carlos,2016,1,28.98,38.09,21.08,0.0
San Carlos,2016,2,30.25,39.75,20.99,0.0
San Carlos,2016,3,31.06,41.01,21.28,5.27
San Carlos,2016,4,29.57,38.31,22.96,58.01
San Carlos,2016,5,27.35,35.3,21.96,89.65
San Carlos,2016,6,26.8,35.22,20.97,89.65
San Carlos,2016,7,26.73,34.06,21.94,79.1
San Carlos,2016,8,26.8,34.19,22.0,36.91
San Carlos,2016,9,27.43,37.02,23.16,36.91
San Carlos,2016,10,27.58,35.69,22.58,47.46
San Carlos,2016,11,26.87,36.44,22.08,131.84
San Carlos,2016,12,26.41,33.72,19.7,73.83
San Carlos,2017,1,26.04,35.11,18.37,47.46
San Carlos,2017,2,28.27,37.8,19.33,0.0
San Carlos,2017,3,29.08,37.99,21.9,21.09
San Carlos,2017,4,30.01,39.15,23.75,21.09
San Carlos,2017,5,28.87,37.28,23.35,52.73
San Carlos,2017,6,27.15,35.4,22.1,94.92
San Carlos,2017,7,26.02,32.17,21.89,121.29
San Carlos,2017,8,26.81,33.73,20.59,68.55
San Carlos,2017,9,26.51,32.98,22.15,89.65
San Carlos,2017,10,26.95,34.98,21.87,68.55
San Carlos,2017,11,27.3,35.95,21.3,47.46
San Carlos,2017,12,27.48,36.44,19.85,42.19
San Carlos,2018,1,27.9,37.07,20.64,15.82
San Carlos,2018,2,26.72,36.64,18.44,31.64
San Carlos,2018,3,29.8,39.29,20.93,0.0
San Carlos,2018,4,29.24,38.29,23.21,31.64
San Carlos,2018,5,28.36,37.2,22.76,47.46
San Carlos,2018,6,27.58,36.58,22.34,84.38
San Carlos,2018,7,27.09,36.12,21.37,79.1
San Carlos,2018,8,26.94,35.36,22.19,137.11
San Carlos,2018,9,26.28,34.29,22.08,137.11
San Carlos,2018,10,26.36,32.49,21.73,158.2
San Carlos,2018,11,27.48,35.58,21.0,21.09
San Carlos,2018,12,27.67,36.4,19.87,10.55
San Carlos,2019,1,28.62,38.66,20.48,0.0
San Carlos,2019,2,29.51,38.69,21.41,0.0
San Carlos,2019,3,29.92,40.11,21.63,15.82
San Carlos,2019,4,30.38,39.89,21.72,5.27
San Carlos,2019,5,29.15,39.94,22.14,63.28
San Carlos,2019,6,27.26,34.59,22.16,84.38
San Carlos,2019,7,27.18,36.22,22.3,58.01
San Carlos,2019,8,26.67,35.65,22.31,73.83
San Carlos,2019,9,27.26,35.3,22.34,68.55
San Carlos,2019,10,27.18,34.65,21.85,42.19
San Carlos,2019,11,28.36,37.55,22.08,15.82
San Carlos,2019,12,29.4,37.84,20.48,10.55
San Carlos,2020,1,29.08,39.27,20.53,26.37
San Carlos,2020,2,30.1,39.53,21.05,0.0
San Carlos,2020,3,29.9,39.83,21.55,0.0
San Carlos,2020,4,31.83,41.43,22.41,0.0
San Carlos,2020,5,32.11,40.19,25.1,0.0
San Carlos,2020,6,30.55,39.51,23.83,26.37
San Carlos,2020,7,29.75,37.41,23.76,0.0
San Carlos,2020,8,30.34,40.09,24.64,0.0
San Carlos,2020,9,30.23,39.15,23.96,0.0
San Carlos,2020,10,30.12,38.9,23.12,5.27
San Carlos,2020,11,29.58,38.09,23.68,5.27
San Carlos,2020,12,29.4,37.73,20.78,26.37
San Carlos,2021,1,27.1,36.8,17.91,47.46
San Carlos,2021,2,28.17,38.06,19.98,36.91
San Carlos,2021,3,28.77,38.51,17.79,10.55
San Carlos,2021,4,30.51,40.04,22.05,0.03
San Carlos,2021,5,31.08,39.47,24.07,0.01
San Carlos,2021,6,30.95,39.27,24.77,0.84
San Carlos,2021,7,30.82,39.19,23.84,0.32
San Carlos,2021,8,30.61,40.67,23.62,0.87
San Carlos,2021,9,31.49,40.0,24.62,0.08
San Carlos,2021,10,30.69,40.62,23.59,19.49
San Carlos,2021,11,30.7,38.83,22.7,0.01
San Carlos,2021,12,29.84,38.68,22.39,1.24
Tucupita,1981,1,25.64,33.25,19.15,21.09
Tucupita,1981,2,27.04,34.86,20.76,36.91
Tucupita,1981,3,28.12,37.05,20.67,10.55
Tucupita,1981,4,27.64,35.75,22.85,131.84
Tucupita,1981,5,26.01,32.26,22.25,316.41
Tucupita,1981,6,25.49,29.73,21.49,189.84
Tucupita,1981,7,25.39,29.71,21.4,226.76
Tucupita,1981,8,25.63,30.5,22.01,221.48
Tucupita,1981,9,25.71,29.98,21.73,174.02
Tucupita,1981,10,25.88,31.7,22.3,84.38
Tucupita,1981,11,26.8,33.29,21.44,79.1
Tucupita,1981,12,25.73,31.31,21.49,137.11
Tucupita,1982,1,25.37,32.0,18.93,36.91
Tucupita,1982,2,26.62,35.34,21.59,36.91
Tucupita,1982,3,27.33,35.97,21.08,15.82
Tucupita,1982,4,27.86,36.15,21.26,100.2
Tucupita,1982,5,28.18,35.94,22.39,105.47
Tucupita,1982,6,26.2,33.34,22.09,226.76
Tucupita,1982,7,25.35,29.71,21.78,263.67
Tucupita,1982,8,25.85,32.13,21.76,116.02
Tucupita,1982,9,27.62,36.14,22.16,31.64
Tucupita,1982,10,27.83,35.78,22.37,79.1
Tucupita,1982,11,27.84,35.65,22.5,21.09
Tucupita,1982,12,26.53,34.23,21.52,110.74
Tucupita,1983,1,26.71,34.32,20.52,26.37
Tucupita,1983,2,27.71,37.42,19.87,0.0
Tucupita,1983,3,29.27,38.59,22.27,0.0
Tucupita,1983,4,29.6,38.62,23.03,42.19
Tucupita,1983,5,27.98,35.96,22.67,131.84
Tucupita,1983,6,26.55,33.26,22.94,279.49
Tucupita,1983,7,26.1,30.86,22.24,168.75
Tucupita,1983,8,26.63,33.19,21.51,110.74
Tucupita,1983,9,28.36,36.57,22.92,36.91
Tucupita,1983,10,28.58,36.08,23.29,26.37
Tucupita,1983,11,28.38,36.48,22.09,36.91
Tucupita,1983,12,26.87,33.98,20.9,52.73
Tucupita,1984,1,26.56,34.38,19.92,26.37
Tucupita,1984,2,27.19,34.66,21.11,10.55
Tucupita,1984,3,28.1,37.25,20.34,15.82
Tucupita,1984,4,29.03,38.41,22.4,0.0
Tucupita,1984,5,28.19,36.62,22.14,73.83
Tucupita,1984,6,26.84,33.96,21.69,174.02
Tucupita,1984,7,25.97,33.03,20.84,168.75
Tucupita,1984,8,26.21,31.73,21.95,110.74
Tucupita,1984,9,26.73,33.81,21.02,110.74
Tucupita,1984,10,27.18,34.84,22.15,94.92
Tucupita,1984,11,25.69,31.08,21.71,168.75
Tucupita,1984,12,25.69,31.87,20.48,68.55
Tucupita,1985,1,25.44,33.62,19.38,15.82
Tucupita,1985,2,25.8,33.69,18.8,0.0
Tucupita,1985,3,27.79,36.8,21.26,5.27
Tucupita,1985,4,28.14,36.65,22.18,79.1
Tucupita,1985,5,27.73,34.98,22.73,79.1
Tucupita,1985,6,26.07,34.46,21.45,179.3
Tucupita,1985,7,25.78,31.67,20.89,210.94
Tucupita,1985,8,25.96,31.69,21.49,168.75
Tucupita,1985,9,26.47,33.76,22.17,100.2
Tucupita,1985,10,26.15,33.48,22.0,210.94
Tucupita,1985,11,25.26,29.87,21.35,179.3
Tucupita,1985,12,24.48,29.77,19.79,94.92
Tucupita,1986,1,25.83,33.67,20.05,10.55
Tucupita,1986,2,26.88,34.95,21.31,15.82
Tucupita,1986,3,27.83,36.45,21.52,0.0
Tucupita,1986,4,29.02,37.35,23.3,5.27
Tucupita,1986,5,28.35,37.29,22.57,94.92
Tucupita,1986,6,26.42,34.54,21.68,226.76
Tucupita,1986,7,25.4,31.07,21.51,237.3
Tucupita,1986,8,25.4,30.17,21.63,163.48
Tucupita,1986,9,26.05,31.96,22.01,131.84
Tucupita,1986,10,26.29,33.08,22.41,142.38
Tucupita,1986,11,25.8,31.44,20.91,105.47
Tucupita,1986,12,24.87,30.72,19.0,163.48
Tucupita,1987,1,26.26,33.65,20.19,5.27
Tucupita,1987,2,27.64,36.7,20.9,0.0
Tucupita,1987,3,29.13,38.94,20.82,0.0
Tucupita,1987,4,29.51,39.03,22.19,10.55
Tucupita,1987,5,28.96,37.28,23.03,73.83
Tucupita,1987,6,27.58,34.56,22.72,126.56
Tucupita,1987,7,26.66,34.06,22.48,210.94
Tucupita,1987,8,26.81,34.32,22.63,184.57
Tucupita,1987,9,26.87,32.65,22.54,126.56
Tucupita,1987,10,27.25,33.65,23.12,110.74
Tucupita,1987,11,27.11,33.54,22.81,121.29
Tucupita,1987,12,26.94,33.49,20.87,89.65
Tucupita,1988,1,26.76,34.2,20.91,10.55
Tucupita,1988,2,27.06,35.23,20.87,31.64
Tucupita,1988,3,28.21,37.67,20.65,0.0
Tucupita,1988,4,29.55,38.04,23.77,0.0
Tucupita,1988,5,29.57,38.4,23.42,47.46
Tucupita,1988,6,27.1,36.03,22.28,189.84
Tucupita,1988,7,26.02,32.08,22.08,247.85
Tucupita,1988,8,25.8,30.34,22.15,295.31
Tucupita,1988,9,25.81,30.01,22.55,168.75
Tucupita,1988,10,26.01,30.42,22.26,89.65
Tucupita,1988,11,25.99,31.84,22.05,105.47
Tucupita,1988,12,24.52,30.44,20.37,232.03
Tucupita,1989,1,24.16,29.26,19.87,137.11
Tucupita,1989,2,25.23,32.93,19.07,26.37
Tucupita,1989,3,26.73,35.05,20.88,21.09
Tucupita,1989,4,27.98,36.45,21.29,10.55
Tucupita,1989,5,27.99,36.55,22.65,126.56
Tucupita,1989,6,26.54,33.5,21.62,137.11
Tucupita,1989,7,25.64,31.48,22.15,300.59
Tucupita,1989,8,26.22,33.54,21.76,89.65
Tucupita,1989,9,26.77,32.88,21.76,184.57
Tucupita,1989,10,27.14,34.54,21.52,73.83
Tucupita,1989,11,26.79,34.21,22.83,137.11
Tucupita,1989,12,26.29,33.44,18.5,15.82
Tucupita,1990,1,26.57,33.19,21.61,31.64
Tucupita,1990,2,26.73,34.67,20.35,21.09
Tucupita,1990,3,27.58,35.45,22.51,42.19
Tucupita,1990,4,29.01,37.62,22.71,21.09
Tucupita,1990,5,27.86,36.29,22.69,142.38
Tucupita,1990,6,26.09,33.67,22.45,369.14
